课程编码,课程名称,1-1,1-2,1-3,2-1,2-2,3-1,3-2,3-3,4-1,4-2,4-3,5-1,5-2,6-1,6-2,7-1,7-2,8-1,8-2
11117600,小学科学教育测量与评价,L,L,,,,M,M,M,,L,H,,M,,L,,M,,M
11190800,数字化科学实验教学设计,L,L,,,,H,H,M,,H,H,,M,,L,,M,,M
11199000,科学技术教育理论与实践,L,L,,,H,H,H,M,,,,,,,L,M,,M,
11111810,科学教育与创新教育概论,L,L,,,,H,H,H,,L,,,,,,H,H,,
11117800,科学普及活动设计与指导,L,L,,,,H,H,M,,M,L,,M,,L,,M,,M
11190400,科技教育资源开发与应用,L,L,,,,H,H,M,,L,H,,M,,L,,M,,M
44110041,大学生职业发展与就业指导之一生涯规划,L,M,,H,L,,M,,,H,,,,,L,H,H,,
44110042,大学生职业发展与就业指导之一就业指导,L,M,,H,L,,M,,,H,,,,,L,H,H,,
11190700,科普剧表演活动设计与指导,L,L,,,,H,H,M,,M,L,,M,,L,,M,,M
11117201,小学科学课程标准与教材研究,L,L,,,L,,,,H,L,M,,,,L,,H,M,
11190500,小学综合实践活动设计与指导,L,L,,,,H,H,M,,M,L,H,M,,L,,M,,M
11117700,科学实验及创意科学教具DIY,L,L,,,,H,H,M,,M,L,,M,,L,,M,,M
11190600,青少年科技创新教育理论与实践,L,L,,,H,H,H,M,,L,L,,M,,L,,M,,M
11117400,小学科学教学技能训练（含微格训练）,L,L,,,L,,,,M,H,L,,L,,L,,M,M,M
13110035,习近平新时代中国特色社会主义思想概论,H,H,M,,L,,,,,,L,L,L,,L,L,L,,
13110131,"马克思主义中国化进程与青年学生使命担当",H,L,H,,L,,,,,,,,,,L,,L,,
13110030,"毛泽东思想和中国特色社会主义理论体系概论",H,H,M,,L,,,,,,,L,L,,L,L,L,,
