课程编码,课程名称,1-1,1-2,1-3,2-1,2-2,2-3,3-1,3-2,3-3,4-1,4-2,4-3,5-1,5-2,5-3,6-1,6-2,6-3,7-1,7-2,7-3,8-1,8-2,8-3
9110010,普通生物学及实验,L,L,,,L,,H,H,M,,M,L,,,,,L,,,,,,M,
25100080,现代教育技术应用,L,L,,,L,,,,,M,H,,,,,,L,,,H,H,,,
11196021,科学前沿专题讲座,L,L,,,,,L,L,M,,,,,,,,L,,H,H,L,M,,
11116081,科学研学旅游研究,L,L,,,,,M,H,H,,L,L,,,,,,,L,M,,M,M,
11111981,青少年图形化编程,L,L,,,,,H,H,M,,L,L,,,,,L,,M,,,M,H,
17110041,创新创业理论与实务,L,L,,,L,,M,,M,,,,,,,,L,,M,,,,,
11196061,四轴无人机能力训练,L,L,,,,,M,H,H,,L,L,,,,,,,,M,,M,M,
99110037,大学生心理健康教育I,L,L,L,H,L,,,,,L,,,M,H,L,M,L,M,,,L,L,L,L
99110038,大学生心理健康教育II,L,L,L,H,L,,,,,L,,,M,H,L,M,L,M,,,L,L,L,L
11117000,小学德育与班级管理,L,M,L,,L,H,,,,M,,,H,H,H,,L,H,,,L,M,M,H
11190801,数字化科学实验研究,L,L,,,,,H,H,M,,H,H,,M,,,L,,,M,,,M,
11192003,科学微课设计与制作,L,H,,,L,,,M,,,H,L,,M,,,H,,,,H,M,,
11117302,科学课程与教学设计,L,L,,,L,,,,,H,H,H,,,,,L,,,M,M,L,L,
11193023,科技活动与科技制作,L,L,,,,,H,H,H,,M,L,,,,,,,M,,,,H,
100050,红色校史与入学教育,M,M,L,H,,H,,,,,,,,,,L,M,H,,,,L,L,
44110043,职业生涯与发展规划,L,M,,H,L,,,M,,,H,,,,,,L,,H,H,,,,
11116031,CAD制图理论与实践,L,L,,,,,H,H,M,,M,L,,,,,L,,M,,,M,M,
11194641,小学研学旅行课程设计,L,L,,,L,,,M,,M,H,M,,,,,L,H,,,M,M,,
11116021,科普基地科普能力训练,L,L,,,,,H,H,M,,M,L,,,,,L,,M,,,M,,
11116061,STEM教育与创客教育,L,L,,,H,,H,H,M,,L,L,,,,,L,,M,,,H,,
11117500,小学教育科研方法与实务,L,L,,,L,,,,,H,M,H,,,,,L,,H,H,H,L,L,
11117600,小学科学教育测量与评价,L,L,,,,,M,M,M,,L,H,,M,,,L,,,M,H,,M,
25100031,教师职业道德与教育法规,L,M,H,H,L,H,,,,M,,,M,,M,,L,H,,,M,M,,M
11111820,科学教育与科学传播概论,L,L,,,,M,H,H,H,,L,L,,,,,L,H,H,L,,,,
11117800,科学普及活动设计与指导,L,L,,,,,H,H,M,,M,L,,M,H,,L,,,M,L,,M,
11117202,科学课程标准与教材研究,L,L,,,L,,,,,H,L,M,,,,,L,,,H,M,M,,
11190400,科技教育资源开发与应用,L,L,,,,,H,H,M,,L,H,,M,H,,L,,,M,H,,M,
11191052,科技文献检索与论文写作,L,L,,,L,,L,L,,,,H,,,,,L,,H,H,M,M,M,
11190601,青少年科技创新教育实践,L,L,,,,,H,H,M,,L,L,,M,,,L,,,M,L,,M,
13110021,马克思主义基本原理概论,H,L,,,L,M,,,,,,,L,L,L,,L,L,L,L,,,,
11190700,科普剧表演活动设计与指导,L,L,,,L,,,,,M,H,M,,,,,L,H,,,,H,M,
11190500,小学综合实践活动设计与指导,L,L,,,,,H,H,M,,M,L,H,M,,,L,H,,M,L,,M,
11116072,教育机器人课程设计能力训练,M,M,,M,M,,,L,,L,H,L,H,L,,,H,,,M,M,,,
11117700,科学实验研究及创意教具DIY,L,L,,,,,H,H,M,,M,L,,M,,,L,,,M,L,,M,
25100090,习近平总书记关于教育的重要论述研究,H,H,M,H,L,H,,M,,,,,L,,,M,L,,L,,,,,
11117401,小学科学教学技能训练（含微格教学）,L,L,,,L,,,,,M,H,L,,L,,,L,,,M,L,M,M,
13110035,习近平新时代中国特色社会主义思想概论,H,H,M,,L,M,,,,,,L,L,L,L,,L,M,L,L,,,,
13110030,毛泽东思想和中国特色社会主义理论体系概论,H,H,M,,L,M,,,,,,,L,L,L,,L,M,L,L,,,,
