课程编码,课程名称,1-1,1-2,1-3,2-1,2-2,3-1,3-2,3-3,4-1,4-2,4-3,5-1,5-2,6-1,6-2,7-1,7-2,8-1,8-2
0,中学物理教具设计与制作,L,L,,,L,,,,M,H,M,,,,L,,,M,M
99110035,大学生心理健康教育II,M,L,,H,M,,,,,,,,H,M,L,,,L,L
11110601,普通物理实验I(力热),L,L,,,L,H,H,M,L,M,,,,,L,,M,M,
11191043,数字化物理实验设计与制作,L,L,,,L,,,,M,H,,,,,L,,M,M,
11110701,普通物理实验II(电磁学),L,L,,,L,H,H,M,L,M,,,,,L,,M,M,
11110801,普通物理实验III(光学),L,L,,,L,H,H,M,L,M,,,,,L,,M,M,
11110410,物理学科课程标准与教材研究,L,L,,,L,L,L,,H,L,M,,,,L,,M,,
11110901,普通物理实验IV(综合设计),L,L,,,L,H,H,M,L,M,,,,,L,,M,M,
11110310,物理教学技能训练(含微格教学),L,L,,,L,,,,M,H,L,,,,L,,M,M,M
13110035,习近平新时代中国特色社会主义思想概论,H,H,M,M,H,,,,,,L,L,L,,L,L,,,
44110042,大学生职业发展与就业指导之—就业指导,M,M,,H,H,,,,,,,,,,L,H,,,
13110131,马克思主义中国化进程与青年学生使命担当,H,L,,,M,,,,,,L,L,L,,L,L,L,,
44110041,大学生职业发展与就业指导之—职业生涯规划,M,M,,H,H,,,,,,,,,,L,H,,,
13110030,毛泽东思想和中国特色社会主义理论体系概论,H,H,M,M,H,,,,,,L,L,L,,L,L,,,
