学院名称,专业号,专业名称,课程代码,课程名称,100分,99-90,89-80,79-70,69-60,60分以下,最高分,最低分,总人数,考试人数,缺考人数,重修人数,总分,平均分,优秀率,良好率,中等率,及格率,不及格率,开课学院
物理科学与技术学院,1196,科学教育,11118346,劳动与社会实践Ⅵ,0,14,57,0,0,0,94,80,71,71,0,0,6054,85.27,19.718%,80.282%,0%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,66150026,笔尖上的艺术——书法基础与赏析,0,2,6,1,1,0,98,69,10,10,0,0,841,84.1,20%,60%,10%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,11117400,小学科学教学技能训练（含微格训练）,0,14,57,0,0,0,96,84,71,71,0,0,6260,88.17,19.718%,80.282%,0%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,13110030,毛泽东思想和中国特色社会主义理论体系概论,0,14,54,3,0,0,93,76,71,71,0,0,6117,86.15,19.718%,76.056%,4.225%,100%,0%,马克思主义学院
物理科学与技术学院,1196,科学教育,11190700,科普剧表演活动设计与指导,0,9,62,0,0,0,92,81,71,71,0,0,6188,87.15,12.676%,87.324%,0%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,17100420,家庭教育心理学,0,9,0,0,0,0,99,97,9,9,0,0,882,98,100%,0%,0%,100%,0%,教务处（语言文字委员会办公室、含通识教育中心）
物理科学与技术学院,1196,科学教育,11111990,探究科学,0,5,47,18,1,0,91,60,71,71,0,0,5852,82.42,7.042%,66.197%,25.352%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,66170017,商务形象设计,0,2,2,1,0,0,98,72,5,5,0,0,429,85.8,40%,40%,20%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,11116010,科技场馆科普能力训练,0,1,70,0,0,0,90,81,71,71,0,0,6032,84.96,1.408%,98.592%,0%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,3019025A,英语畅谈中国文化,0,0,6,9,1,0,88,60,16,16,0,0,1239,77.44,0%,37.5%,56.25%,100%,0%,大学外语教学部
物理科学与技术学院,1196,科学教育,11117201,小学科学课程标准与教材研究,0,5,32,33,1,0,95,68,71,71,0,0,5704,80.34,7.042%,45.07%,46.479%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,66130069,探索蓝色海洋,0,2,5,0,0,0,93,83,7,7,0,0,615,87.86,28.571%,71.429%,0%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,11116080,研学旅游方法与实践,0,0,71,0,0,0,89,83,71,71,0,0,6043,85.11,0%,100%,0%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,66110056,教育前沿问题研究,0,1,5,0,0,0,94,84,6,6,0,0,523,87.17,16.667%,83.333%,0%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,77102010,游泳1,0,0,3,2,0,0,85,76,5,5,0,0,403,80.6,0%,60%,40%,100%,0%,公共体育教学部
物理科学与技术学院,1196,科学教育,66110057,大学生婚恋法律指南,0,1,4,0,0,0,92,81,5,5,0,0,431,86.2,20%,80%,0%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,77102303,健美操3,0,0,7,0,0,0,89,83,7,7,0,0,605,86.43,0%,100%,0%,100%,0%,公共体育教学部
物理科学与技术学院,1196,科学教育,77101403,跆拳道3,0,0,4,0,0,0,89,85,4,4,0,0,347,86.75,0%,100%,0%,100%,0%,公共体育教学部
物理科学与技术学院,1196,科学教育,3019024A,通用学术英语,0,1,8,1,0,0,90,77,10,10,0,0,847,84.7,10%,80%,10%,100%,0%,大学外语教学部
物理科学与技术学院,1196,科学教育,77100105,篮球运动训练1,0,0,1,0,0,0,83,83,1,1,0,0,83,83,0%,100%,0%,100%,0%,公共体育教学部
